city,state,zip
JACKSONVILLE,FL,32204
TALLAHASSEE,FL,32308
NAPLES,FL,34110
"PONTE VEDRA",FL,32082
"WEST PALM BEACH",FL,33401
ENGLEWOOD,FL,34223
JACKSONVILLE,FL,32209
HOLLYWOOD,FL,33021
"PEMBROKE PINES",FL,33024
"NEW PORT RICHEY",FL,34655
"FORT WALTON BEACH",FL,32548
MELBOURNE,FL,32940
"PALM HARBOR",FL,34684
AVENTURA,FL,33180
TAMPA,FL,33606
"FT MYERS",FL,33901
MIAI,FL,33173
SANFORD,FL,32771
PENSACOLA,FL,32503
MARIANNA,FL,32446
"ORANGE PARK",FL,32073
MIAMI,FL,33173
PENSACOLA,FL,32504
"PEMBROKE PINES",FL,33028
"FORT MYERS",FL,33907
"AMELIA ISLAND",FL,32034
JACKSONVILLE,FL,32216
DAVIE,FL,33331
"BOCA RATON",FL,33486